sk_municipio,sk_tempo,sk_rede,despesa_liquidada_educacao,desp_liq_fundamental,desp_liq_infantil,despesa_empenhada_educacao,desp_emp_fundamental,desp_emp_infantil,mat_creche,mat_pre_escola,mat_anos_iniciais,mat_anos_finais,mat_especial_classes_comuns,docentes_iniciais,docentes_finais,turmas_iniciais,turmas_finais,escolas_creche,escolas_pre_escola,escolas_iniciais,escolas_finais,ideb_iniciais,ideb_meta_iniciais,rendimento_iniciais,saeb_mat_iniciais,saeb_lp_iniciais,saeb_nota_iniciais,ideb_finais,ideb_meta_finais,rendimento_finais,saeb_mat_finais,saeb_lp_finais,saeb_nota_finais,inse_score,inse_classificacao,qtd_alunos_inse
3501400,2015,2,,,,,,,0,0,0,174,0,0,0,0,0,0,0,0,1,,,,,,,3.8,5.1,0.967174,216.72,219.13,3.930833,,,
3501400,2015,3,,,,,,,0,105,275,0,3,16,0,13,0,0,1,1,0,5.7,5.6,0.979317,222.88,197.83,5.814397,,,,,,,,,
3501509,2015,2,,,,,,,0,0,0,200,0,0,0,0,0,0,0,0,1,,,,,,,4.4,4.8,0.898316,247.02,244.53,4.859167,,,
3501509,2015,3,3650440.62,2358860.57,1052303.76,3650440.62,2358860.57,1052303.76,117,110,241,0,7,18,0,12,0,1,1,1,0,6.1,5.7,0.974858,229.15,214.16,6.230963,,,,,,,,,
3502804,2015,2,,,,,,,20,14,9,6438,0,0,0,0,0,1,1,2,24,,,,,,,4.8,5.3,0.967536,250.05,246.17,4.937,,,
3502804,2015,3,116384382.46,54332731.75,44788645.29,119860065.6,55769079.96,46633017.78,3418,3201,8034,0,249,354,6,333,5,37,36,28,0,6.4,6.3,0.961174,236.8,228.94,6.645682,,,,,,,,,
3503208,2015,2,,,,,,,26,18,5387,5376,0,0,0,0,0,1,1,13,18,7.1,6.7,0.998799,252.66,235.27,7.063445,4.9,6.0,0.948281,255.58,252.25,5.1305,,,
3503208,2015,3,162816073.04,79099755.69,68645301.07,163402401.34,79561972.45,68756764.32,5406,4224,4428,2731,386,265,165,196,109,39,39,14,11,5.9,6.2,0.96309,225.15,214.15,6.154445,4.5,5.4,0.918363,251.65,245.07,4.945333,,,
3504008,2015,2,,,,,,,10,1,0,4026,0,0,0,0,0,1,1,0,12,,,,,,,5.1,5.6,0.916108,267.75,265.79,5.559,,,
3504008,2015,3,72873970.62,34691252.29,17466437.12,77293663.23,37674727.21,18767112.66,2032,1965,4917,0,83,308,0,206,0,17,17,19,0,6.5,6.0,0.980165,240.36,222.19,6.590894,,4.6,,,,,,,
3506003,2015,2,,,,,,,36,24,9919,13269,0,0,0,0,0,1,1,30,38,6.3,6.3,0.98436,236.63,216.7,6.419892,4.6,5.4,0.937829,248.98,246.76,4.929,,,
3506003,2015,3,158747106.53,63796401.65,77153329.05,161553917.42,65086599.65,78163670.52,4462,5133,6938,1414,379,321,78,260,52,64,63,16,5,5.9,5.7,0.967924,223.64,215.0,6.141083,4.8,5.6,0.898127,260.43,258.25,5.311333,,,
3507506,2015,2,,,,,,,73,29,2,3725,0,0,0,0,0,2,1,1,14,,6.1,1.0,,,,4.6,5.0,0.932367,251.47,243.09,4.909333,,,
3507506,2015,3,,,,,,,2205,2155,6700,1527,192,287,69,279,59,20,23,20,4,6.4,6.1,0.974996,240.34,222.43,6.594876,4.7,4.8,0.913272,257.53,250.57,5.135,,,
3514403,2015,2,,,,,,,0,0,0,1439,0,0,0,0,0,0,0,0,4,,,,,,,4.7,5.6,0.935617,253.36,249.29,5.044167,,,
3514403,2015,3,,,,,,,1014,737,2048,83,49,154,19,96,9,9,9,9,2,6.7,6.3,0.979559,248.66,229.01,6.873291,,5.2,0.958777,,,,,,
3516606,2015,2,,,,,,,0,0,0,249,0,0,0,0,0,0,0,0,1,,6.0,,,,,4.6,5.1,0.983099,240.81,237.51,4.638667,,,
3516606,2015,3,,,,,,,123,138,320,0,18,17,0,17,0,1,1,1,0,6.7,6.6,0.974999,245.46,232.46,6.874949,,,,,,,,,
3516705,2015,2,,,,,,,0,0,0,1863,0,0,0,0,0,0,0,0,6,,6.4,,,,,5.0,5.1,0.969006,253.9,254.56,5.141,,,
3516705,2015,3,30247120.78,18361497.13,7741828.6,31599093.47,19456628.02,7758966.48,665,979,2330,0,34,197,0,109,0,18,10,9,0,6.0,6.0,0.954468,231.49,216.82,6.323983,,,,,,,,,
3517703,2015,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3.4,,,,,,,
3517703,2015,3,26463295.56,20526320.79,4497533.4,26463295.56,20526320.79,4497533.4,235,306,1376,1255,68,85,60,79,52,5,5,6,2,6.1,5.8,0.984744,235.93,206.39,6.219079,4.1,4.9,0.836745,255.4,241.86,4.954333,,,
3525300,2015,2,,,,,,,0,0,0,4454,0,0,0,0,0,0,0,0,13,,5.7,,,,,4.6,5.2,0.946989,248.96,243.55,4.875167,,,
3525300,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,1317,2368,6733,650,334,311,57,274,36,28,26,17,1,6.3,6.1,0.948656,238.27,227.19,6.641917,5.1,5.1,0.913879,268.34,266.01,5.5725,,,
3526001,2015,2,,,,,,,0,0,0,804,0,0,0,0,0,0,0,0,2,,,,,,,5.6,5.6,0.950103,284.26,267.57,5.863833,,,
3526001,2015,3,,,,,,,554,423,1071,0,19,58,0,51,0,4,7,3,0,7.8,6.7,1.0,278.95,245.76,7.75589,,,,,,,,,
3527108,2015,2,,,,,,,0,0,2380,2973,0,0,0,0,0,0,0,8,10,6.1,6.1,0.971224,231.7,215.27,6.299808,4.2,5.2,0.882731,246.51,239.41,4.765333,,,
3527108,2015,3,40119581.74,0.0,0.0,40991956.4,0.0,0.0,779,1329,926,0,96,61,11,41,4,11,8,5,0,6.0,5.6,0.969842,228.34,209.88,6.137686,,,,,,,,,
3527702,2015,2,,,,,,,0,0,0,187,0,0,0,0,0,0,0,0,1,,,,,,,5.1,5.6,0.970655,265.48,251.56,5.284,,,
3527702,2015,3,,,,,,,132,128,340,0,6,22,0,17,0,1,1,1,0,7.0,5.4,0.934529,268.59,239.44,7.443271,,,,,,,,,
3529005,2015,2,,,,,,,17,3,2675,7510,0,0,0,0,0,1,1,12,28,7.2,6.7,0.989947,263.54,233.6,7.240715,5.0,5.5,0.971438,259.45,251.39,5.180667,,,
3529005,2015,3,139676257.3,49095482.05,56061590.35,143468268.36,51267569.0,57102520.48,4846,4685,7846,0,195,374,2,335,2,34,28,19,0,6.9,6.6,0.976908,256.47,230.27,7.045246,,,,,,,,,
3533700,2015,2,,,,,,,0,0,0,218,0,0,0,0,0,0,0,0,1,,5.7,,,,,4.9,5.5,0.988361,250.22,246.8,4.950333,,,
3533700,2015,3,,,,,,,151,119,303,0,3,16,0,12,0,1,1,1,0,7.4,5.8,0.972637,275.78,239.06,7.573575,,,,,,,,,
3534005,2015,2,,,,,,,0,0,0,233,0,0,0,0,0,0,0,0,1,,,,,,,5.3,5.7,0.982364,263.97,259.13,5.385,,,
