ano,sigla_uf,id_municipio,rede,tipo_localizacao,quantidade_alunos_inse,inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8
2019,RO,1100015,0,0,833,4.7512,0.13,15.55,25.97,23.22,19.81,9.07,5.76,0.49
2019,RO,1100015,0,1,773,4.7662,0.14,15.31,25.56,23.01,19.78,9.42,6.24,0.53
2019,RO,1100015,2,0,668,4.7891,0,14.97,24.72,23.25,19.89,9.92,6.62,0.62
2019,RO,1100015,2,1,668,4.7891,0,14.97,24.72,23.25,19.89,9.92,6.62,0.62
2019,RO,1100015,5,0,833,4.7512,0.13,15.55,25.97,23.22,19.81,9.07,5.76,0.49
2019,RO,1100015,5,1,773,4.7662,0.14,15.31,25.56,23.01,19.78,9.42,6.24,0.53
2019,RO,1100015,6,0,833,4.7512,0.13,15.55,25.97,23.22,19.81,9.07,5.76,0.49
2019,RO,1100015,6,1,773,4.7662,0.14,15.31,25.56,23.01,19.78,9.42,6.24,0.53
2019,RO,1100023,0,0,3394,4.7597,0.5,15.9,22.76,25.33,18.26,10.09,6.53,0.65
2019,RO,1100023,0,1,2860,4.7705,0.56,16.73,22.04,24.27,18.13,10.51,7.02,0.73
2019,RO,1100023,0,2,534,4.7017,0.16,11.43,26.57,30.99,18.93,7.83,3.92,0.17
2019,RO,1100023,2,0,1852,4.7966,0.49,16.08,21.68,23.19,19.27,11.06,7.53,0.71
2019,RO,1100023,2,1,1770,4.8092,0.51,15.94,21.22,23.12,19.44,11.21,7.8,0.75
2019,RO,1100023,3,0,1410,4.6979,0.51,16.87,24.44,27.08,16.37,8.99,5.12,0.63
2019,RO,1100023,3,1,1090,4.7046,0.65,18.08,23.43,26.23,15.9,9.31,5.69,0.72
2019,RO,1100023,3,2,320,4.6734,0,12.39,28.15,30.24,18.12,7.79,2.99,0.32
2019,RO,1100023,5,0,3262,4.7558,0.5,16.41,22.82,24.8,18.07,10.2,6.53,0.68
2019,RO,1100023,5,1,2860,4.7705,0.56,16.73,22.04,24.27,18.13,10.51,7.02,0.73
2019,RO,1100023,5,2,402,4.6454,0,13.99,28.64,28.79,17.6,7.88,2.87,0.24
2019,RO,1100023,6,0,3394,4.7597,0.5,15.9,22.76,25.33,18.26,10.09,6.53,0.65
2019,RO,1100023,6,1,2860,4.7705,0.56,16.73,22.04,24.27,18.13,10.51,7.02,0.73
2019,RO,1100023,6,2,534,4.7017,0.16,11.43,26.57,30.99,18.93,7.83,3.92,0.17
2019,RO,1100049,0,0,2683,4.8073,0.23,12.45,22.37,27.37,21.46,9.52,5.95,0.67
2019,RO,1100049,0,1,2339,4.834,0.21,12.12,22.18,26.26,21.64,10.23,6.64,0.72
2019,RO,1100049,0,2,344,4.6109,0.32,14.84,23.74,35.54,20.13,4.34,0.83,0.26
2019,RO,1100049,1,0,134,5.2745,0,3.15,12.94,21.75,27.64,17.28,14.85,2.39
2019,RO,1100049,1,1,134,5.2745,0,3.15,12.94,21.75,27.64,17.28,14.85,2.39
2019,RO,1100049,2,0,1721,4.839,0.24,11.9,21.76,26.96,21.13,10.54,6.71,0.78
2019,RO,1100049,2,1,1721,4.839,0.24,11.9,21.76,26.96,21.13,10.54,6.71,0.78
2019,RO,1100049,3,0,828,4.6523,0.24,15.36,25.42,29.3,21.09,5.85,2.64,0.11
2019,RO,1100049,3,2,344,4.6109,0.32,14.84,23.74,35.54,20.13,4.34,0.83,0.26
2019,RO,1100049,5,0,2549,4.7814,0.24,12.96,22.89,27.68,21.11,9.09,5.45,0.57
2019,RO,1100049,5,1,2205,4.8061,0.23,12.69,22.76,26.54,21.26,9.78,6.12,0.62
2019,RO,1100049,5,2,344,4.6109,0.32,14.84,23.74,35.54,20.13,4.34,0.83,0.26
2019,RO,1100049,6,0,2683,4.8073,0.23,12.45,22.37,27.37,21.46,9.52,5.95,0.67
2019,RO,1100049,6,1,2339,4.834,0.21,12.12,22.18,26.26,21.64,10.23,6.64,0.72
2019,RO,1100049,6,2,344,4.6109,0.32,14.84,23.74,35.54,20.13,4.34,0.83,0.26
2019,RO,1100064,0,0,665,4.9393,0.15,8.89,19.66,26.63,23.34,12.85,7.77,0.71
2019,RO,1100064,0,1,468,4.9382,0.22,10.9,17.88,24.57,23.83,14.28,7.29,1.05
2019,RO,1100064,2,0,260,4.9054,0.39,11.54,17.67,26.01,22.74,13.17,8.12,0.36
2019,RO,1100064,2,1,260,4.9054,0.39,11.54,17.67,26.01,22.74,13.17,8.12,0.36
2019,RO,1100064,3,0,267,4.9476,0,8.87,19.39,26.18,25.3,13.21,5.6,1.47
2019,RO,1100064,3,1,208,4.9792,0,10.09,18.13,22.77,25.19,15.67,6.25,1.91
2019,RO,1100064,5,0,527,4.927,0.19,10.17,18.55,26.09,24.04,13.19,6.83,0.92
2019,RO,1100064,5,1,468,4.9382,0.22,10.9,17.88,24.57,23.83,14.28,7.29,1.05
2019,RO,1100064,6,0,665,4.9393,0.15,8.89,19.66,26.63,23.34,12.85,7.77,0.71
2019,RO,1100064,6,1,468,4.9382,0.22,10.9,17.88,24.57,23.83,14.28,7.29,1.05
