ano,cod_ibge,uf,municipio,mat_creche_estadual,mat_creche,mat_pre_escola_estadual,mat_pre_escola,mat_anos_iniciais_estadual,mat_anos_iniciais,mat_anos_finais_estadual,mat_anos_finais,docentes_iniciais,docentes_finais,turmas_iniciais,turmas_finais,mat_especial_classes_comuns,escolas_creche_estadual,escolas_creche,escolas_pre_escola_estadual,escolas_pre_escola,escolas_iniciais_estadual,escolas_iniciais,escolas_finais_estadual,escolas_finais
2015,1100015,Rondônia,Alta Floresta D'Oeste,0,109,0,429,1123,1337,1009,475,67,67,56,51,44,0,1,0,8,16,18,7,8
2015,1100023,Rondônia,Ariquemes,0,438,0,1363,1814,6876,3796,2147,298,139,288,101,344,0,5,0,16,7,21,9,14
2015,1100031,Rondônia,Cabixi,0,81,0,138,124,467,375,0,28,0,26,0,15,0,1,0,3,3,3,3,0
2015,1100049,Rondônia,Cacoal,0,517,0,1465,2475,3586,3251,1214,130,63,157,52,205,0,7,0,17,21,17,17,11
2015,1100056,Rondônia,Cerejeiras,0,149,0,406,482,908,839,113,45,12,45,7,36,0,2,0,6,3,5,3,2
2015,1100064,Rondônia,Colorado do Oeste,0,171,0,220,953,489,786,241,22,29,23,25,27,0,1,0,1,6,6,2,5
2015,1100072,Rondônia,Corumbiara,0,0,0,137,352,441,310,297,27,37,24,18,10,0,0,0,1,4,4,4,4
2015,1100080,Rondônia,Costa Marques,0,88,0,371,535,1241,707,363,54,17,54,17,35,0,1,0,4,3,5,5,2
2015,1100098,Rondônia,Espigão D'Oeste,0,139,0,512,1277,1621,1262,635,57,33,72,28,107,0,2,0,7,12,9,8,5
2015,1100106,Rondônia,Guajará-Mirim,0,189,0,978,1919,3074,3253,9,116,12,111,12,75,0,2,0,12,34,19,31,1
2015,1100114,Rondônia,Jaru,0,376,0,973,2112,2685,2631,667,127,64,129,44,166,0,7,0,13,12,13,11,10
2015,1100122,Rondônia,Ji-Paraná,0,195,0,1798,6967,3581,6835,561,157,52,150,41,184,0,7,0,13,36,19,29,9
2015,1100130,Rondônia,Machadinho D'Oeste,0,90,0,502,761,2937,1040,1268,127,89,135,76,138,0,1,0,6,3,24,2,10
2015,1100148,Rondônia,Nova Brasilândia D'Oeste,0,94,0,291,663,926,565,650,49,42,47,31,13,0,1,0,5,3,8,3,4
2015,1100155,Rondônia,Ouro Preto do Oeste,0,481,0,892,745,2608,1917,337,87,22,108,16,101,0,7,0,10,5,7,5,3
2015,1100189,Rondônia,Pimenta Bueno,0,324,0,790,1190,2024,2041,276,80,31,79,24,98,0,3,0,10,5,12,7,4
2015,1100205,Rondônia,Porto Velho,508,2013,706,9360,12321,28184,26031,3043,1005,238,1156,199,763,2,36,2,62,58,113,63,18
2015,1100254,Rondônia,Presidente Médici,0,228,0,462,1454,487,1033,272,37,30,37,24,18,0,1,0,6,9,7,8,5
2015,1100262,Rondônia,Rio Crespo,0,0,0,90,145,239,173,99,14,10,14,6,0,0,0,0,1,1,1,1,1
2015,1100288,Rondônia,Rolim de Moura,0,394,0,1301,2829,2151,3084,498,121,32,115,25,97,0,3,0,5,10,6,10,3
2015,1100296,Rondônia,Santa Luzia D'Oeste,0,61,0,157,0,673,396,45,37,10,34,7,23,0,1,0,3,0,3,1,1
2015,1100304,Rondônia,Vilhena,0,389,0,2048,1520,5770,3996,1072,190,52,222,49,361,0,9,0,14,8,19,12,5
2015,1100320,Rondônia,São Miguel do Guaporé,0,145,0,408,315,1772,619,954,86,48,86,45,62,0,1,0,10,2,12,2,10
2015,1100338,Rondônia,Nova Mamoré,0,60,2,675,814,2394,1062,960,86,116,84,91,32,0,1,1,46,7,54,6,7
2015,1100346,Rondônia,Alvorada D'Oeste,0,138,0,276,629,773,539,423,44,53,44,34,34,0,2,0,8,3,8,3,7
2015,1100379,Rondônia,Alto Alegre dos Parecis,0,0,0,179,119,1141,170,765,48,41,52,38,45,0,0,0,1,2,7,1,6
2015,1100403,Rondônia,Alto Paraíso,0,51,0,145,297,1450,498,761,62,53,57,41,59,0,1,0,2,1,13,1,8
2015,1100452,Rondônia,Buritis,0,0,0,623,425,3057,2040,658,82,61,112,56,198,0,0,0,8,2,28,4,5
2015,1100502,Rondônia,Novo Horizonte do Oeste,0,62,0,184,428,408,395,166,26,17,21,11,7,0,1,0,2,2,2,2,2
2015,1100601,Rondônia,Cacaulândia,0,0,0,116,0,551,278,104,29,12,31,8,27,0,0,0,2,0,3,1,2
2015,1100700,Rondônia,Campo Novo de Rondônia,0,79,0,154,154,1260,357,537,66,35,61,25,29,0,1,0,2,1,6,2,5
2015,1100809,Rondônia,Candeias do Jamari,0,209,0,730,543,2026,1143,385,66,30,73,16,76,0,2,0,7,3,8,4,2
2015,1100908,Rondônia,Castanheiras,0,0,0,68,149,190,129,116,12,14,11,9,5,0,0,0,2,2,2,2,2
2015,1100924,Rondônia,Chupinguaia,0,169,0,185,0,1100,485,228,51,31,46,22,35,0,1,0,4,0,10,3,5
2015,1100940,Rondônia,Cujubim,0,162,0,367,34,1928,408,967,70,33,75,35,29,0,1,0,1,1,5,1,4
2015,1101005,Rondônia,Governador Jorge Teixeira,0,21,0,127,271,681,339,308,37,20,38,20,18,0,1,0,3,6,6,2,5
2015,1101104,Rondônia,Itapuã do Oeste,0,89,0,216,0,1242,609,65,43,18,38,13,24,0,1,0,1,0,5,2,1
2015,1101203,Rondônia,Ministro Andreazza,0,58,0,121,201,619,238,413,35,32,34,24,22,0,1,0,2,2,5,1,4
2015,1101302,Rondônia,Mirante da Serra,0,70,4,222,123,932,601,128,30,13,39,12,22,0,1,1,4,3,6,3,2
2015,1101401,Rondônia,Monte Negro,0,52,0,174,475,1050,580,613,47,42,50,27,28,0,1,0,1,1,6,2,6
