cod_ibge,municipio,regiao,uf,populacao
1100015,Alta Floresta D'Oeste,NO,RO,22787
1100023,Ariquemes,NO,RO,109170
1100031,Cabixi,NO,RO,5664
1100049,Cacoal,NO,RO,98280
1100056,Cerejeiras,NO,RO,16966
1100064,Colorado do Oeste,NO,RO,16508
1100072,Corumbiara,NO,RO,7968
1100080,Costa Marques,NO,RO,13510
1100098,Espigão D'Oeste,NO,RO,32842
1100106,Guajará-Mirim,NO,RO,43594
1100114,Jaru,NO,RO,55682
1100122,Ji-Paraná,NO,RO,140101
1100130,Machadinho D'Oeste,NO,RO,34149
1100148,Nova Brasilândia D'Oeste,NO,RO,16374
1100155,Ouro Preto do Oeste,NO,RO,38684
1100189,Pimenta Bueno,NO,RO,39220
1100205,Porto Velho,NO,RO,517709
1100254,Presidente Médici,NO,RO,20443
1100262,Rio Crespo,NO,RO,3767
1100288,Rolim de Moura,NO,RO,62959
1100296,Santa Luzia D'Oeste,NO,RO,7837
1100304,Vilhena,NO,RO,109651
1100320,São Miguel do Guaporé,NO,RO,22305
1100338,Nova Mamoré,NO,RO,28701
1100346,Alvorada D'Oeste,NO,RO,13720
1100379,Alto Alegre dos Parecis,NO,RO,12237
1100403,Alto Paraíso,NO,RO,17467
1100452,Buritis,NO,RO,30649
1100502,Novo Horizonte do Oeste,NO,RO,7972
1100601,Cacaulândia,NO,RO,4292
1100700,Campo Novo de Rondônia,NO,RO,9095
1100809,Candeias do Jamari,NO,RO,24313
1100908,Castanheiras,NO,RO,3450
1100924,Chupinguaia,NO,RO,10191
1100940,Cujubim,NO,RO,15877
1101005,Governador Jorge Teixeira,NO,RO,8340
1101104,Itapuã do Oeste,NO,RO,9228
1101203,Ministro Andreazza,NO,RO,6519
1101302,Mirante da Serra,NO,RO,9657
1101401,Monte Negro,NO,RO,12168
1101435,Nova União,NO,RO,6541
1101468,Pimenteiras do Oeste,NO,RO,2309
1101476,Primavera de Rondônia,NO,RO,3268
1101484,São Felipe D'Oeste,NO,RO,5588
1101492,São Francisco do Guaporé,NO,RO,17557
1101500,Seringueiras,NO,RO,12965
1101559,Teixeirópolis,NO,RO,4521
1101609,Theobroma,NO,RO,8459
1101708,Urupá,NO,RO,11314
1101757,Vale do Anari,NO,RO,8220
1101807,Vale do Paraíso,NO,RO,6790
1200013,Acrelândia,NO,AC,14712
1200054,Assis Brasil,NO,AC,8648
1200104,Brasiléia,NO,AC,28028
1200138,Bujari,NO,AC,13928
1200179,Capixaba,NO,AC,10981
1200203,Cruzeiro do Sul,NO,AC,98916
1200252,Epitaciolândia,NO,AC,19874
1200302,Feijó,NO,AC,37764
1200328,Jordão,NO,AC,9884
1200336,Mâncio Lima,NO,AC,20479
1200344,Manoel Urbano,NO,AC,12923
1200351,Marechal Thaumaturgo,NO,AC,18057
1200385,Plácido de Castro,NO,AC,17107
1200393,Porto Walter,NO,AC,11333
1200401,Rio Branco,NO,AC,389001
1200427,Rodrigues Alves,NO,AC,15560
1200435,Santa Rosa do Purus,NO,AC,7217
1200450,Senador Guiomard,NO,AC,22402
1200500,Sena Madureira,NO,AC,44049
1200609,Tarauacá,NO,AC,46816
1200708,Xapuri,NO,AC,19170
1200807,Porto Acre,NO,AC,17523
1300029,Alvarães,NO,AM,16806
1300060,Amaturá,NO,AM,11533
1300086,Anamã,NO,AM,9981
1300102,Anori,NO,AM,18056
1300144,Apuí,NO,AM,21781
1300201,Atalaia do Norte,NO,AM,15889
1300300,Autazes,NO,AM,45960
1300409,Barcelos,NO,AM,18210
1300508,Barreirinha,NO,AM,33722
1300607,Benjamin Constant,NO,AM,40908
1300631,Beruri,NO,AM,22495
1300680,Boa Vista do Ramos,NO,AM,26479
1300706,Boca do Acre,NO,AM,38792
1300805,Borba,NO,AM,34869
1300839,Caapiranga,NO,AM,14806
1300904,Canutama,NO,AM,18109
1301001,Carauari,NO,AM,31130
1301100,Careiro,NO,AM,32336
1301159,Careiro da Várzea,NO,AM,20324
1301209,Coari,NO,AM,73576
1301308,Codajás,NO,AM,24572
1301407,Eirunepé,NO,AM,35793
1301506,Envira,NO,AM,17985
1301605,Fonte Boa,NO,AM,28227
1301654,Guajará,NO,AM,14344
1301704,Humaitá,NO,AM,63454
1301803,Ipixuna,NO,AM,25629
