cod_ibge,ano,rede,inse_score,inse_classificacao,qtd_alunos_inse
1100015,2019,Estadual,4.7891,Nível III,668
1100015,2019,Municipal,4.6073,Nível III,165
1100015,2019,Total,4.7512,Nível III,833
1100023,2019,Estadual,4.7966,Nível III,1852
1100023,2019,Municipal,4.6979,Nível III,1410
1100023,2019,Total,4.7597,Nível III,3394
1100031,2019,Estadual,4.6121,Nível III,105
1100031,2019,Municipal,4.8125,Nível III,110
1100031,2019,Total,4.7091,Nível III,215
1100049,2019,Estadual,4.839,Nível III,1721
1100049,2019,Municipal,4.6523,Nível III,828
1100049,2019,Total,4.8073,Nível III,2683
1100056,2019,Estadual,4.9518,Nível IV,360
1100056,2019,Municipal,4.7953,Nível III,195
1100056,2019,Total,4.8984,Nível III,555
1100064,2019,Estadual,4.9054,Nível III,260
1100064,2019,Municipal,4.9476,Nível IV,267
1100064,2019,Total,4.9393,Nível IV,665
1100072,2019,Estadual,4.6498,Nível III,142
1100072,2019,Municipal,4.5152,Nível III,95
1100072,2019,Total,4.5954,Nível III,237
1100080,2019,Estadual,4.6139,Nível III,282
1100080,2019,Municipal,4.8144,Nível III,252
1100080,2019,Total,4.7081,Nível III,534
1100098,2019,Estadual,4.7208,Nível III,790
1100098,2019,Municipal,4.6152,Nível III,342
1100098,2019,Total,4.6884,Nível III,1132
1100106,2019,Estadual,4.6599,Nível III,920
1100106,2019,Municipal,4.6585,Nível III,481
1100106,2019,Total,4.6841,Nível III,1467
1100114,2019,Estadual,4.6714,Nível III,1519
1100114,2019,Municipal,4.6426,Nível III,498
1100114,2019,Total,4.6646,Nível III,2017
1100122,2019,Estadual,4.8182,Nível III,3212
1100122,2019,Municipal,4.8691,Nível III,745
1100122,2019,Total,4.8278,Nível III,3957
1100130,2019,Estadual,4.4975,Nível III,640
1100130,2019,Municipal,4.4833,Nível III,598
1100130,2019,Total,4.4911,Nível III,1238
1100148,2019,Estadual,4.7151,Nível III,309
1100148,2019,Municipal,4.5331,Nível III,299
1100148,2019,Total,4.6269,Nível III,608
1100155,2019,Estadual,4.7877,Nível III,654
1100155,2019,Municipal,4.7199,Nível III,535
1100155,2019,Total,4.7586,Nível III,1189
1100189,2019,Estadual,4.7806,Nível III,824
1100189,2019,Municipal,4.885,Nível III,422
1100189,2019,Total,4.8167,Nível III,1246
1100205,2019,Estadual,4.9076,Nível III,9381
1100205,2019,Municipal,4.7464,Nível III,4553
1100205,2019,Total,4.8622,Nível III,14313
1100254,2019,Estadual,4.811,Nível III,558
1100254,2019,Municipal,4.5576,Nível III,163
1100254,2019,Total,4.7542,Nível III,721
1100262,2019,Estadual,4.7175,Nível III,75
1100262,2019,Municipal,4.8422,Nível III,66
1100262,2019,Total,4.7777,Nível III,141
1100288,2019,Estadual,4.8782,Nível III,1345
1100288,2019,Municipal,4.7619,Nível III,598
1100288,2019,Total,4.8427,Nível III,1943
1100296,2019,Estadual,4.7653,Nível III,146
1100296,2019,Municipal,4.6357,Nível III,122
1100296,2019,Total,4.7073,Nível III,268
1100304,2019,Estadual,4.9999,Nível IV,1452
1100304,2019,Municipal,4.9188,Nível III,1390
1100304,2019,Total,4.9733,Nível IV,2948
1100320,2019,Estadual,4.6795,Nível III,350
1100320,2019,Municipal,4.5737,Nível III,411
1100320,2019,Total,4.6222,Nível III,761
1100338,2019,Estadual,4.6143,Nível III,602
1100338,2019,Municipal,4.6596,Nível III,353
1100338,2019,Total,4.6303,Nível III,955
1100346,2019,Estadual,4.7328,Nível III,253
1100346,2019,Municipal,4.5745,Nível III,232
1100346,2019,Total,4.6608,Nível III,485
1100379,2019,Estadual,4.6634,Nível III,202
1100379,2019,Municipal,4.466,Nível III,284
1100379,2019,Total,4.5491,Nível III,486
1100403,2019,Estadual,4.5845,Nível III,259
1100403,2019,Municipal,4.4578,Nível III,217
1100403,2019,Total,4.5262,Nível III,476
1100452,2019,Estadual,4.5772,Nível III,780
1100452,2019,Municipal,4.6463,Nível III,515
1100452,2019,Total,4.6038,Nível III,1295
1100502,2019,Estadual,4.5593,Nível III,198
1100502,2019,Municipal,4.7643,Nível III,119
1100502,2019,Total,4.6362,Nível III,317
1100601,2019,Estadual,4.6791,Nível III,82
1100601,2019,Municipal,4.6122,Nível III,82
1100601,2019,Total,4.6488,Nível III,164
1100700,2019,Estadual,4.6731,Nível III,200
1100700,2019,Municipal,4.6515,Nível III,213
1100700,2019,Total,4.6624,Nível III,413
1100809,2019,Estadual,4.6109,Nível III,423
1100809,2019,Municipal,4.5893,Nível III,344
1100809,2019,Total,4.6013,Nível III,767
1100908,2019,Estadual,4.5872,Nível III,51
1100908,2019,Municipal,4.4105,Nível III,72
1100908,2019,Total,4.486,Nível III,123
1100924,2019,Estadual,4.5929,Nível III,188
1100924,2019,Municipal,4.6951,Nível III,155
1100924,2019,Total,4.6361,Nível III,343
1100940,2019,Estadual,4.5401,Nível III,264
1100940,2019,Municipal,4.5105,Nível III,305
1100940,2019,Total,4.5241,Nível III,569
1101005,2019,Estadual,4.5785,Nível III,183
1101005,2019,Municipal,4.489,Nível III,179
1101005,2019,Total,4.5325,Nível III,362
1101104,2019,Estadual,4.5364,Nível III,177
1101104,2019,Municipal,4.4208,Nível III,242
1101104,2019,Total,4.4729,Nível III,419
1101203,2019,Estadual,4.7158,Nível III,207
1101203,2019,Municipal,4.5783,Nível III,124
1101203,2019,Total,4.6653,Nível III,331
1101302,2019,Estadual,4.4919,Nível III,204
1101302,2019,Municipal,4.6597,Nível III,159
1101302,2019,Total,4.5637,Nível III,363
1101401,2019,Estadual,4.7238,Nível III,219
1101401,2019,Municipal,4.6375,Nível III,301
1101401,2019,Total,4.6758,Nível III,520
1101435,2019,Estadual,4.7094,Nível III,108
1101435,2019,Municipal,4.6755,Nível III,130
1101435,2019,Total,4.6914,Nível III,238
1101450,2019,Estadual,4.7264,Nível III,71
1101450,2019,Municipal,4.6624,Nível III,73
1101450,2019,Total,4.6921,Nível III,144
1101468,2019,Estadual,4.7318,Nível III,65
1101468,2019,Municipal,4.6599,Nível III,58
1101468,2019,Total,4.7012,Nível III,123
1101476,2019,Estadual,4.8019,Nível III,84
1101476,2019,Municipal,4.7817,Nível III,58
1101476,2019,Total,4.7942,Nível III,142
1101484,2019,Estadual,4.6367,Nível III,101
