cod_ibge,ano,rede,ideb_iniciais,ideb_meta_iniciais,rendimento_iniciais,saeb_mat_iniciais,saeb_lp_iniciais,saeb_nota_iniciais,ideb_finais,ideb_meta_finais,rendimento_finais,saeb_mat_finais,saeb_lp_finais,saeb_nota_finais
1100015,2015,Estadual,5.8,4.9,0.928693,231.42,211.49,6.225738,4.2,4.8,0.856521,250.84,246.72,4.959333
1100015,2015,Municipal,5.0,,0.96617,208.37,177.01,5.158943,,4.5,0.850879,,,
1100023,2015,Estadual,5.6,5.4,0.931485,219.98,211.96,6.015963,4.3,4.9,0.804741,258.12,259.6,5.295333
1100023,2015,Municipal,5.0,4.9,0.903457,209.15,198.47,5.56401,4.6,4.5,0.87954,255.89,254.6,5.174833
1100031,2015,Estadual,6.3,5.5,0.964771,235.69,223.48,6.525226,4.3,5.0,0.917234,240.8,242.81,4.726833
1100031,2015,Municipal,5.3,4.8,0.936142,212.68,197.4,5.611922,,,,,,
1100049,2015,Estadual,6.0,5.1,0.950165,231.01,218.44,6.344277,4.6,4.7,0.876689,255.98,257.02,5.216667
1100049,2015,Municipal,5.8,5.4,0.978292,217.93,208.68,5.917204,4.5,4.7,0.936527,247.46,243.79,4.854167
1100056,2015,Estadual,6.5,5.5,0.976087,240.58,222.92,6.608365,4.1,4.8,0.825855,249.9,245.6,4.925
1100056,2015,Municipal,5.4,5.2,0.916629,216.35,206.81,5.853051,,4.7,0.676766,,,
1100064,2015,Estadual,6.2,5.6,0.954571,236.72,223.29,6.541428,4.6,5.1,0.855007,260.78,259.14,5.332
1100064,2015,Municipal,,5.4,,,,,,,,,,
1100072,2015,Estadual,5.5,4.9,0.937027,214.83,211.18,5.903498,4.5,4.5,0.830285,256.18,266.97,5.385833
1100072,2015,Municipal,5.0,4.9,0.866822,211.31,204.75,5.719414,,,,,,
1100080,2015,Estadual,4.8,4.9,0.826437,216.8,206.4,5.854185,,4.5,0.797993,,,
1100080,2015,Municipal,4.5,4.0,0.89253,191.18,186.33,5.000344,,,,,,
