ano,cod_ibge,despesa_liquidada_educacao,desp_liq_fundamental,desp_liq_infantil,despesa_empenhada_educacao,desp_emp_fundamental,desp_emp_infantil
2015,3529005,139676257.3,49095482.05,56061590.35,143468268.36,51267569.0,57102520.48
2016,3529005,160720488.8,59376720.79,69154109.38,164402844.16,61004580.39,71155124.67
2017,3529005,154255863.86,56855197.74,66319419.7,156124898.75,57158428.08,67328464.28
2018,3529005,160852514.1,60804427.47,67375312.95,162546702.82,61297253.45,68431765.41
2019,3529005,176821915.62,67986587.17,72828762.86,182236644.54,70209630.41,75412198.86
2020,3529005,177892750.74,68996934.35,77230334.58,183236754.45,70843103.5,80480144.4
2021,3529005,172764744.37,71103281.12,66179465.92,188081298.65,78800353.82,69699005.08
2022,3529005,218352014.59,85353666.34,88507292.74,225540501.07,88782536.64,91599923.46
2023,3529005,276574425.36,98260014.05,98491974.99,301014049.87,110495547.69,108629726.69
2024,3529005,301260262.57,98890698.2,108626995.0,326518841.27,112606087.66,115386949.69
2025,3529005,342508402.03,119095475.42,132306682.34,353278568.21,120920015.25,140889759.91
2015,3516705,30247120.78,18361497.13,7741828.6,31599093.47,19456628.02,7758966.48
2016,3516705,27284852.84,16005242.12,6509643.75,27518318.08,16113005.5,6548733.81
2017,3516705,29224684.95,17431282.94,6851623.48,29726455.49,17545290.55,7118928.94
2018,3516705,33156701.07,20330130.35,8175438.63,34262239.19,21401927.16,8190244.91
2019,3516705,34783959.19,21912166.63,8030483.33,36883474.56,23840392.03,8196893.37
2020,3516705,30367584.01,18610723.67,8448935.06,31877704.75,20022142.62,8473959.21
2021,3516705,35031968.51,21823724.22,8576437.43,37244563.68,23312919.12,9096076.54
2022,3516705,45660019.02,24958087.89,10645984.31,48068461.01,25935136.38,11700895.78
2023,3516705,51815787.57,26845486.23,14870596.35,56634771.1,30710687.71,15660310.76
2024,3516705,55852045.19,30651304.5,16766326.7,57477199.93,31791770.01,17082845.52
2025,3516705,59415105.13,31706829.75,19347513.46,60300240.45,32091042.29,19612577.66
2015,3540002,14433205.29,6759890.1,6102098.17,19154286.39,9879607.42,7703197.95
2016,3540002,18830836.22,11331715.48,6757559.26,18880337.29,11381216.55,6757559.26
2017,3540002,17648063.06,9250498.36,6978378.13,17648063.06,9250498.36,6978378.13
2018,3540002,18492701.63,10042005.86,6828872.43,18503740.41,10052831.74,6829085.33
2019,3540002,19380849.96,10630313.43,7077267.77,19380849.96,10630313.43,7077267.77
2020,3540002,16617807.85,8732393.14,7461559.32,16702754.18,8797598.43,7481300.36
2021,3540002,23983000.43,13376211.94,9824968.38,24460327.66,13823689.17,9854818.38
2022,3540002,33371258.74,17899827.37,11739013.54,33371258.74,17899827.37,11739013.54
2023,3540002,38467546.09,19734434.62,14384556.22,38471686.09,19738574.62,14384556.22
2024,3540002,40289006.96,20729430.67,13788964.22,40532901.52,20815014.99,13947274.46
2025,3540002,47964725.98,26658702.73,14487134.67,47964725.99,26658702.74,14487134.67
2017,3556602,7435572.46,4742537.75,2251319.69,7436394.46,4742537.75,2252141.69
2018,3556602,8187365.65,5127062.89,2624997.73,8422328.67,5355225.69,2631797.95
2019,3556602,8541717.51,5353188.45,2691865.02,8557917.0,5369387.94,2691865.02
2020,3556602,7798318.06,4478056.76,2854844.42,7798318.06,4478056.76,2854844.42
2021,3556602,9404606.19,5820809.47,3084335.12,9427168.97,5839524.35,3087935.12
2022,3556602,12307874.27,7813164.36,3867130.07,12325931.81,7831221.9,3867130.07
2023,3556602,13572426.31,8942670.83,3928130.15,15337528.86,8948359.53,5687494.0
2024,3556602,15763605.21,10096275.09,4838675.46,15813000.25,10106415.18,4877048.59
2025,3556602,17140656.52,10556050.82,5686664.67,17161295.73,10574559.73,5688794.97
2015,3534005,4747017.71,3191634.39,1483655.63,4747017.71,3191634.39,1483655.63
2016,3534005,5385408.06,3503412.07,1796944.2,5385408.06,3503412.07,1796944.2
2017,3534005,4810846.63,3436963.2,1301876.07,4810846.63,3436963.2,1301876.07
2018,3534005,4597740.57,3622609.51,862935.04,4597740.57,3622609.51,862935.04
2019,3534005,5567801.96,4673749.35,815642.09,5655554.11,4761501.5,815642.09
2020,3534005,5047598.48,3815063.72,1167931.3,5196958.55,3815063.72,1317291.37
2021,3534005,6827127.14,5537972.99,1227414.0,6849994.89,5560840.74,1227414.0
2022,3534005,8464258.87,7328194.63,1092009.24,8464258.87,7328194.63,1092009.24
2023,3534005,9472189.93,8591833.04,821286.89,9472189.93,8591833.04,821286.89
2024,3534005,10720250.17,8843983.63,1785846.54,10720250.17,8843983.63,1785846.54
2025,3534005,11869831.7,10656555.02,1103134.28,11869831.7,10656555.02,1103134.28
2018,3533700,5212459.56,2947308.6,1966280.22,5284669.34,2947426.92,2038073.18
2019,3533700,5710326.55,3537087.17,1749764.02,5928550.57,3547217.01,1759772.7
2020,3533700,5709163.21,3495249.13,1852573.59,5718332.33,3499438.83,1855602.26
2021,3533700,6800744.93,4083806.16,2217547.02,7132361.38,4410289.71,2219553.08
2022,3533700,9346837.92,5344859.41,2915211.39,9378529.16,5360031.72,2929108.63
2023,3533700,10227092.17,5889819.45,3280895.25,10240913.07,5890329.45,3283240.56
2024,3533700,9942772.69,5677138.81,3164423.4,10051437.99,5680719.41,3268570.95
2025,3533700,12024227.43,6933035.65,4083568.17,12035257.24,6935345.48,4086002.23
2016,3527702,4923137.26,3390137.79,1233003.98,4923137.26,3390137.79,1233003.98
2017,3527702,5172229.0,3233500.62,1489149.09,5173735.85,3234659.05,1489149.09
2018,3527702,5378524.38,3426639.61,1636105.45,5686586.78,3734702.01,1636105.45
2019,3527702,6202316.86,3859138.57,2097048.66,6202316.86,3859138.57,2097048.66
2020,3527702,5534877.67,3430530.28,1946074.78,5534877.67,3430530.28,1946074.78
2021,3527702,6216542.08,4108861.47,1941784.06,6462611.99,4176157.4,2120558.04
2022,3527702,9744921.56,6469373.25,2792249.84,9998615.37,6723067.06,2792249.84
2023,3527702,10365106.2,6360092.93,3509157.95,10399959.68,6360092.93,3544011.43
2024,3527702,10378822.19,6358633.53,3574831.77,10485926.19,6457633.53,3582191.77
